Date,Type,Registration,Operator,Fatalities,Location,Cat
04-SEP-1971,Boeing 727-193,N2969G,04-SEP-1971,111.0,"near Juneau, AK",A1
06-SEP-1971,BAC One-Eleven 515FB,D-ALAR,06-SEP-1971,22.0,near Hamburg-Fuhl...,A1
06-SEP-1971,Douglas C-47B (DC-3),A65-73,06-SEP-1971,0.0,Townsville R...,A1
08-SEP-1971,Sud-Aviation SE-210 Caravelle,,08-SEP-1971,0.0,Benghazi,H2
09-SEP-1971,Douglas R4D-6 (DC-3),8P-AAC,09-SEP-1971,2.0,near Basse-Terre,A1
11-SEP-1971,Howard Eldorado 700,N25YC,11-SEP-1971,0.0,near Philadelphia...,A1
12-SEP-1971,Douglas C-47A (DC-3),HC-AUX,12-SEP-1971,,Cerro de Hojas,A1
13-SEP-1971,Hawker Siddeley HS-121 Trident 1E,256,13-SEP-1971,9.0,near Öndörkhaan,C1
16-SEP-1971,C-9A Nightingale (DC-9-30),67-22586,16-SEP-1971,3.0,near Belleville-S...,A1
16-SEP-1971,Douglas C-47A (DC-3),4W-ABI,16-SEP-1971,5.0,"Rajince, Pre...",A1
16-SEP-1971,Tupolev Tu-134,HA-LBD,16-SEP-1971,49.0,near Kiev-Borispo...,A1
16-SEP-1971,Sud-Aviation SE-210 Caravelle,,16-SEP-1971,0.0,,H2
16-SEP-1971,Beriev Be-30,CCCP-67207,16-SEP-1971,0.0,near Moskva-Bykov...,A1
17-SEP-1971,Canadair C-54GM North Star,CF-UXB,17-SEP-1971,0.0,Sarasota Air...,A1
17-SEP-1971,Boeing KC-97G Stratofreighter,4X-FPR/033,17-SEP-1971,7.0,near Suez Canal,C1
19-SEP-1971,Antonov An-2,LZ-...,19-SEP-1971,1.0,within Bulgaria,A1
24-SEP-1971,Boeing 727,,24-SEP-1971,0.0,Detroit-Metr...,H2
25-SEP-1971,Antonov An-2,CCCP-98281,25-SEP-1971,0.0,near Tokko,A1
27-SEP-1971,DHC-3 Otter,CF-MPZ,27-SEP-1971,,Deer Lake Ai...,A1
