Date,Type,Registration,Operator,Fatalities,Location,Latitude,Longitude
21-APR-2010,Antonov An-12BP,UP-AN216,21-APR-2010,3,Barangay Lap...,24.13811,-110.30973
04-MAY-2010,Antonov An-2,,04-MAY-2010,0,"near Marianivka, ...",51.1275949,34.4155563
05-MAY-2010,Embraer EMB-145LR (ERJ-145LR),HK-4536,05-MAY-2010,0,Mitú-Fabio A...,1.2533821,-70.2339671
06-MAY-2010,Antonov An-2R,RA-40373,06-MAY-2010,0,near Goryachy Klyuch,55.0318045,73.1508843
06-MAY-2010,Lockheed Hercules C.3A (C-130K),XV304,06-MAY-2010,0,Brize Norton...,51.7664356,-1.5664074
15-MAY-2010,Antonov An-28,PZ-TSV,15-MAY-2010,8,near Poeketi,4.13333,-54.61667
16-MAY-2010,DHC-3T Vazar Turbine Otter,SX-ARO,16-MAY-2010,0,Biscarrosse/...,44.3907065,-1.1609361
17-MAY-2010,Antonov An-24V,YA-PIS,17-MAY-2010,44,Salang Pass,35.3142268,69.0373498
17-MAY-2010,Beech 200 Super King Air,N308RH,17-MAY-2010,0,"San Pedro, C...",-33.8943545,-71.4563149
21-MAY-2010,Beech 200 Super King Air,D2-FFT,21-MAY-2010,3,near Caxito,-8.5827504,13.6600788
22-MAY-2010,Boeing 737-8HG (WL),VT-AXV,22-MAY-2010,158,Mangalore-Ba...,12.8698101,74.8430082
??-MAY-2010,Antonov An-74-200,EK-74027,??-MAY-2010,0,Kabul-Hamid ...,34.5667125,69.2065009
06-JUN-2010,Boeing 737-4B6,CN-RMF,06-JUN-2010,0,Amsterdam-Sc...,-26.9059577,-49.0880211
10-JUN-2010,Cessna 208B Grand Caravan,OB-1922-P,10-JUN-2010,0,within Peru,-3.7415461,-73.247654
12-JUN-2010,PZL-Mielec M28 Skytruck,ENBV-0063,12-JUN-2010,3,Puerta del E...,45.271015,27.9580921
15-JUN-2010,Cessna 550B Citation Bravo,YU-BSG,15-JUN-2010,0,Brac Airport...,24.3913984,88.6082288
15-JUN-2010,Let L-410MU,9Q-COA,15-JUN-2010,0,Shabunda,-2.993575,27.4702053
17-JUN-2010,Cessna 208 Caravan I,N810GA,17-JUN-2010,0,Little Pecon...,-16.75501,-71.24332
18-JUN-2010,Dassault Falcon 20F,FAP-300,18-JUN-2010,0,near Chiclayo-Cap...,-6.789894,-79.8269027
18-JUN-2010,Airbus A321-131,D-AIRT,18-JUN-2010,0,Praha-Ruzyne...,50.0841721,14.3121812
18-JUN-2010,Boeing 737-8BK (WL),TC-SNM,18-JUN-2010,0,Praha-Ruzyne...,50.0841721,14.3121812
19-JUN-2010,Douglas DC-3C,D-CXXX,19-JUN-2010,0,Berlin-Schön...,52.5487962,13.4593803
19-JUN-2010,CASA C-212-CB Aviocar 100,TN-AFA,19-JUN-2010,11,near Mintom,2.5379178,13.3978549
19-JUN-2010,Boeing 737-832 (WL),N3730B,19-JUN-2010,0,New York-Joh...,43.5639104,-76.1176258
21-JUN-2010,DC-9-82 (MD-82),9Q-COQ,21-JUN-2010,0,Kinshasa-N'D...,-4.3217055,15.3125974
23-JUN-2010,Beech A100 King Air,C-FGIN,23-JUN-2010,7,near Québec City ...,46.8259601,-71.2352226
24-JUN-2010,Antonov An-2R,UP-A0161,24-JUN-2010,2,"Sarybulak, N...",49.449791,76.443413
26-JUN-2010,Lockheed P-2E Neptune,N1386C,26-JUN-2010,0,Broomfield-R...,39.9203827,-105.0691464
05-JUL-2010,Antonov An-2T,53,05-JUL-2010,12,Tuzla Airfield,44.4363768,18.686115
20-JUL-2010,Fokker F-27 Friendship 600,9Q-CJV,20-JUL-2010,0,Lubumbashi-L...,-11.6508776,27.4688687
21-JUL-2010,Antonov An-12BK,RA-11376,21-JUL-2010,0,Keperveyem A...,67.8415768,166.1428991
27-JUL-2010,MD-11F,D-ALCQ,27-JUL-2010,0,Riyadh-King ...,24.7167865,46.64404
27-JUL-2010,Raytheon 390 Premier IA,N6JR,27-JUL-2010,0,Oshkosh-Witt...,39.25644,-89.34814
28-JUL-2010,C-17A Globemaster III,00-0173,28-JUL-2010,4,near Anchorage-El...,52.1967232,-6.3560114
28-JUL-2010,Antonov An-12BP,3X-GEQ,28-JUL-2010,0,"FOB Dwyer, H...",52.44889,9.74
28-JUL-2010,ATR 72-212A (ATR 72-500),RP-C7254,28-JUL-2010,0,Manila-Ninoy...,14.5121499,121.0220184
31-JUL-2010,Convair CV-580 Airtanker,C-FKFY,31-JUL-2010,2,"near Lytton, BC",50.2311317,-121.581601
01-AUG-2010,Fairchild C-123K Provider,N709RR,01-AUG-2010,3,"Mount Healy,...",-20.7482147,139.5009155
08-AUG-2010,ATR 42-300,LY-DOT,08-AUG-2010,0,Pori Airport...,61.469192,21.7909161
09-AUG-2010,DHC-3T Texas Turbine Otter,N455A,09-AUG-2010,5,"near Aleknagik, AK",59.2730556,-158.6177778
12-AUG-2010,Airbus A319-111,4K-AZ04,12-AUG-2010,0,Istanbul-Ata...,43.3359572,76.953537
13-AUG-2010,Dassault Falcon 50,F-HAIR,13-AUG-2010,0,Paris-Le Bou...,48.8206096,2.3214393
16-AUG-2010,Boeing 737-73V (WL),HK-4682,16-AUG-2010,2,San Andres I...,14.3205586,120.969735
24-AUG-2010,Embraer ERJ-190,B-3130,24-AUG-2010,44,near Yichun Lindu...,47.7517627,129.0205478
